,Sales & Services Revenue ,Gross Profit ,"Selling, General & Admin ",Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP ",Diluted Weighted Avg Shares ,"Diluted EPS, GAAP ",EBITDA Margin (%) ,Profit Margin (%) ,Sales per Employee ,Depreciation Expense ,"Cash, Cash Equivalents & STI ",Cash & Cash Equivalents ,Accounts & Notes Receiv ,Total Current Assets ,"Property, Plant & Equip, Net ","Property, Plant & Equip ",Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Cash from Investing Activities ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
28,28.99,28.21,27.1,141.92,34.44,100.43,-1.03,102.53,-0.9,102.25,0.06,55.38,22.53,0.8,29.59,-24.97,34.91,30.01,15.65,17.23,1.96,2.99,12.2,20.53,26.47,20.11,27.94,21.56,23.29,4.0,12.85,-28.71,6.75,6.75,12.2,-3.97,192.9,174.39,1.52,2.8,5.28,100.43,3.65,-74.32,-112.36,-0.43,41.85,-22.56,-145.07,-365.99,41.85,-5.49,-24.12,-50.32,-0.29095922912453
29,10.95,11.24,10.61,121.13,9.76,7.51,-4.16,12.17,-4.17,12.18,1.02,-3.11,1.92,-40.62,17.98,31.95,14.44,17.27,17.59,18.46,5.05,5.98,10.44,12.77,17.1,-0.57,23.21,4.07,8.79,12.03,9.16,71.85,11.38,11.38,10.44,-2.06,-32.49,-39.39,11.67,0.14,8.86,7.51,-7.7,431.5,-443.3,38.66,23.96,-34.67,155.67,-190.06,23.96,41.31,-32.84,28.98,-0.0815146276924088
30,4.45,3.75,8.37,-63.87,8.07,-0.01,-0.55,0.54,-0.24,0.23,-3.62,-4.26,-6.98,13.6,21.52,44.02,-2.7,14.85,25.86,21.23,6.4,8.11,10.94,-8.64,1.68,-0.54,19.56,4.1,3.16,10.34,7.26,2.54,15.25,15.25,10.94,0.53,-86.06,-87.9,24.2,12.95,12.28,-0.01,10.94,-1.63,-86.61,-2.83,28.9,10.2,-57.35,82.63,28.9,-7.84,26.05,-2.83,0.1988047707847313
31,-7.91,-11.51,9.71,59.16,-68.17,-65.18,1.34,-65.64,2.14,-65.91,-43.36,-62.19,-13.38,560.19,-10.3,-41.44,-2.82,-6.59,-119.3,-52.83,31.09,12.25,4.07,5.2,19.96,0.16,16.66,4.54,10.47,11.65,-1.06,50.11,0.89,0.89,4.07,0.43,845.13,836.78,-28.21,-22.14,6.31,-65.18,7.16,-3.97,1802.38,-23.2,-30.51,41.11,138.21,-236.04,-30.51,-21.59,125.47,120.55,0.2931594942651225
32,2.26,1.62,3.48,-23.51,-4.01,-12.56,-0.7,-11.95,-0.97,-11.71,-7.77,-14.5,-3.07,-2.38,17.83,33.89,-1.34,13.76,0.56,19.0,-0.37,-2.38,3.91,10.05,64.55,-39.23,-4.28,-28.88,10.11,11.37,-0.28,-117.56,0.54,0.54,3.91,0.25,-41.58,-41.89,4.15,-30.87,5.5,-12.56,-2.38,-2.59,95.41,11.81,-21.25,-58.34,-9.24,-149.46,-21.25,18.27,18.57,27.87,0.100188445890853
33,15.64,14.93,5.275,-56.63,155.58,148.29,0.18,147.85,-0.26,148.94,48.06,114.72,4.03,8.25,6.65,-21.55,13.55,4.76,42.56,0.29,12.45,11.66,8.72,-3.7,-11.83,109.34,0.07,65.79,17.38,10.76,4.98,1988.95,3.56,3.56,8.72,0.07,159.67,150.74,-31.45,18.82,11.15,148.29,8.25,-8.51,-49.53,14.12,24.68,203.31,-60.45,-175.84,24.68,12.75,9.16,-54.04,0.2994256448642081
34,22.08,24.27,12.31,84.48,64.24,85.65,-0.08,85.81,-0.56,86.71,20.07,52.07,7.99,-2.34,19.39,15.37,23.96,21.11,59.81,3.66,1.04,-0.54,8.36,11.12,27.02,-0.27,-5.88,-1.62,11.8,10.31,11.87,2.67,6.05,6.05,8.36,-0.67,-13.58,-18.5,21.14,-4.65,13.05,85.65,-2.34,15.67,77.38,49.69,10.2,-35.5,443.49,-167.86,10.2,55.38,-22.24,-19.37,0.0005619967961354
35,24.72,24.96,13.44,-46.53,48.95,44.93,-0.95,46.32,-0.63,45.85,9.66,16.21,8.99,-1.67,22.23,128.03,46.21,24.11,12.21,14.79,7.58,6.12,14.39,29.5,25.46,-1.09,17.28,3.14,15.02,10.09,17.98,-35.59,13.94,13.94,14.39,-0.65,-147.67,-141.84,16.12,-1.07,14.43,44.93,-1.67,26.31,29.04,32.42,-12.6,-53.87,8.53,763.31,-12.6,37.02,35.32,-8.63,0.5079859755376148
36,23.67,24.54,19.25,52.67,30.7,52.94,-0.53,53.76,-0.62,53.9,3.32,23.67,4.08,6.29,-44.52,-28.76,8.01,-32.99,0.37,14.74,86.97,90.89,29.12,23.51,21.93,119.24,47.06,100.35,54.82,11.87,23.42,32.47,10.66,10.66,29.12,-0.73,-684.49,-628.16,-298.67,-45.04,18.83,52.94,6.29,35.5,9.14,38.33,49.66,957.92,-99.53,-151.43,49.66,37.59,-2.69,-9.56,0.353402034705563
37,23.71,21.23,22.56,36.32,14.71,13.92,-1.02,15.09,-1.2,15.31,-1.26,-7.91,16.73,80.31,29.36,61.33,16.66,33.72,-16.67,20.27,2.11,2.56,10.62,20.1,90.44,-76.02,7.32,-60.02,8.78,14.41,25.5,26.94,12.48,12.48,10.62,-1.09,-40.05,-46.7,-58.07,-29.78,5.98,13.92,80.31,22.48,-78.47,9.73,25.28,-90.29,52810.27,-254.21,25.28,8.63,10.04,-3.68,0.1690074410949691
